U:0,U:1,U:2,Points:0,Points:1,Points:2
4.35,-0.0057385,-0.10914,-2.2288,3.7441,-2.1124
3.9825,0.10506,-0.0058198,-0.69418,4.3069,-0.1408
3.6756,0.036549,0.047481,-4.984E-09,5.1441,2.5419
3.8318,-0.039631,-1.4786E-05,1.116,5.4264,-1.8592E-07
4.8593,0.95561,-0.15013,2.9423,3.2955,0.97792
3.8863,0.034569,0.096027,1.5297,2.35,-1.6931
4.717,-0.27494,-0.10235,-2.6251,4.758,-2.2423
3.7295,-0.016976,0.020481,0.27939,2.0701,2.6829
2.8223,-0.42565,-0.018826,-2.4745,1.6625,-0.41935
3.832,0.026104,0.0026919,0.97657,0.66976,-0.13994
4.1075,0.099957,0.04133,-1.389,4.1659,1.4097
3.2381,-0.023429,0.017866,1.9558,6.096,-2.794
5.4066,-0.42909,-0.12714,2.936,4.0236,0.83825
5.3409,0.1507,-0.23818,2.9375,4.872,1.3971
4.4266,-0.5057,0.6423,2.6444,2.6304,-2.2459
3.0919,-0.058591,0.093276,-0.6985,0,2.529
3.9962,0.14543,0.049173,-0.83728,5.4261,0.98025
3.8391,0.031728,0.013377,0.97549,0.94938,-0.70098
3.9867,0.23059,-0.070271,2.0893,0.80534,0.6994
4.0184,-0.14554,-0.027475,-0.83717,0.66987,-0.55988
3.4059,0.024043,0.06169,-1.3892,1.5093,1.2664
4.3155,0.1031,0.04023,-1.8118,5.2884,1.2609
4.1264,0.079712,0.072846,-1.5346,5.1462,1.9718
3.8665,0.071436,-0.14902,1.9437,1.2257,1.5445
4.2494,-0.02816,0.079083,-2.0869,3.6054,1.9713
3.6935,0.045293,-0.051987,0.13969,5.8453,-1.6781
3.7084,-0.00070269,0.010696,0.8382,0,-1.5367
3.2719,0.41957,0.13379,-1.9568,5.846,2.1015
0.10211,-0.17029,-0.22569,-2.6779,5.9994,2.3806
4.1178,0.31757,0.017035,2.3526,3.3282,-0.13988
3.3051,0.0046871,0.37107,-1.956,0.95248,2.794
4.9954,-0.044381,-0.011786,-2.9376,4.8719,-1.6768
4.8532,0.48783,0.0055542,-2.6447,5.7065,0.41913
3.7633,-1.4403E-05,0.027799,0.41877,3.048,2.2619
4.1714,0.10991,0.04425,2.0775,2.214,-0.4203
3.8732,0.16323,-0.29334,2.2311,0.94626,2.1106
3.825,-0.032639,-0.11657,-0.8378,1.0912,-2.259
4.1499,0.089442,-0.064198,-1.5309,4.0256,-1.8348
4.0944,-7.0478E-06,0.032564,-1.6614,3.048,0.70262
3.8733,-0.022371,0.072907,-0.41821,1.2299,1.408
3.866,0.027693,-0.082473,-0.13949,3.8865,-1.9798
2.7072,-0.3273,0.062663,-2.4748,4.6031,0.55913
4.9722,-0.053792,0.0026372,-2.936,3.7403,0.83825
4.5779,-0.031654,0.26778,-2.5148,5.1478,2.395
3.7284,-0.041103,0.003472,1.2573,4.1656,-2.794
4.3247,0.0028402,0.32581,2.5025,5.019,-1.8214
3.9333,-0.013492,-0.14389,1.8064,3.6057,1.6903
3.9463,0.039282,0.023268,1.2472,2.0697,-0.56294
4.1392,0.025708,1.933E-05,-0.96961,3.607,-5.0868E-07
3.6415,0.15796,-0.13901,1.8158,0.52942,1.9646
3.6414,-0.11858,0.034209,-0.83366,1.6492,0.70386
3.8403,-0.0098129,0.0027271,0.55814,0.66995,0.27993
2.7446,0.12735,0.18294,-1.1176,6.096,2.2395
3.8863,0.019852,-0.015177,0.13934,5.0065,-0.421
3.8727,0.071345,0.067858,1.5265,1.509,-1.1244
5,0,0,-3.048,5.7212,-4.4409E-16
3.4067,0.0075737,-1.2096E-05,-1.387,4.5871,-4.4546E-07
4.0333,-0.55238,0.033479,2.3456,4.2954,-0.27973
3.8187,0.015257,0.0115,0.83557,1.6499,-1.5527
3.7896,0.049292,0.03188,1.2562,0.5299,-0.83931
4.5814,0.81613,-0.017108,2.6516,0.66252,0.13972
2.5,0,0,-3.048,4.3922,-0.4191
4.0205,0.033963,-0.0066276,-0.69639,5.0066,-0.14027
4.4743,0.061912,0.023775,-2.2185,3.8805,1.121
3.7325,0.018955,-0.042157,0.27927,5.1451,-2.1157
3.8932,-0.01182,0.035499,0.27837,2.2092,1.414
4.1366,-0.098808,-1.9837E-05,-1.1144,0.94914,-3.4594E-07
3.4737,0.079389,-0.081868,-0.97785,4.0259,-2.6829
3.6005,0.18007,-0.067547,-0.97775,5.8453,-1.1181
4.0453,0.03211,-0.020543,-1.3852,3.3272,-0.70387
3.9102,-0.001959,0.00090632,0.69432,4.3069,-0.42251
3.9212,-0.17733,0.11718,-1.6763,0.67056,2.3982
3.7193,1.3378E-05,-0.19342,-1.1143,3.048,-1.8375
3.7751,-0.024064,0.020364,0.97659,4.3057,-2.1197
3.9512,-0.0093314,0.00080255,0.6929,3.3276,-0.42365
4.1856,0.086891,0.059971,-1.5335,5.147,1.6868
3.9249,-0.02579,0.044844,1.2489,3.7464,-1.1281
4.5636,0.8102,-0.15854,2.6517,0.66257,1.118
4.3009,-0.027407,-0.0077805,-1.8,2.3513,-0.421
3.9612,-0.088362,0.012521,-0.41673,1.7891,0.28175
3.705,-0.0051305,-0.011962,0.55874,4.8643,-2.5423
3.9847,0.035305,0.052961,-0.27808,3.8869,1.1309
3.5871,-0.015877,0.090089,-0.55873,1.3714,2.5424
0.63459,-0.078333,0.20839,2.794,4.6459,-2.5051
3.8268,0.0050987,0.038841,1.1151,2.9083,-1.9789
4.2734,0.13454,-0.015861,2.2173,2.2155,0.13999
4.0421,-0.064531,0.025507,-0.41652,2.069,0.56448
