U:0,U:1,U:2,Points:0,Points:1,Points:2
0.0,0.0,0.0,2.8258,2.8258,0
0.0,0.0,0.0,3.3043,2.8258,0
0.0,0.0,0.0,3.7826,2.8258,0
0.0,0.0,0.0,4.2609,2.8258,0
0.0,0.0,0.0,4.7391,2.8258,0
0.0,0.0,0.0,5.2174,2.8258,0
0.0,0.0,0.0,5.6957,2.8258,0
0.0,0.0,0.0,6.1739,2.8258,0
0.0,0.0,0.0,6.6522,2.8258,0
0.0,0.0,0.0,7.1304,2.8258,0
0.0,0.0,0.0,7.6087,2.8258,0
0.0,0.0,0.0,8.087,2.8258,0
0.0,0.0,0.0,8.5652,2.8258,0
0.0,0.0,0.0,9.0435,2.8258,0
0.0,0.0,0.0,9.5217,2.8258,0
0.0,0.0,0.0,10,2.8258,0
0.0,0.0,0.0,10.478,2.8258,0
0.0,0.0,0.0,10.957,2.8258,0
0.0,0.0,0.0,11.435,2.8258,0
0.0,0.0,0.0,11.913,2.8258,0
0.0,0.0,0.0,12.391,2.8258,0
0.0,0.0,0.0,12.87,2.8258,0
0.0,0.0,0.0,13.348,2.8258,0
0.0,0.0,0.0,13.826,2.8258,0
0.0,0.0,0.0,14.304,2.8258,0
0.0,0.0,0.0,14.783,2.8258,0
0.0,0.0,0.0,15.261,2.8258,0
0.0,0.0,0.0,15.739,2.8258,0
0.0,0.0,0.0,16.217,2.8258,0
0.0,0.0,0.0,16.696,2.8258,0
0.0,0.0,0.0,17.174,2.8258,0
0.0,0.0,0.0,17.653,2.8258,0
0.0,0.0,0.0,18.134,2.8258,0
0.0,0.0,0.0,18.615,2.8258,0
0.0,0.0,0.0,0.91437,2.8259,0
0.0,0.0,0.0,19.086,2.8259,0
0.0,0.0,0.0,0.48832,2.826,0
0.0,0.0,0.0,19.512,2.826,0
-0.069815,0.49545,-0.616825,0.1,2.8261,0
0.643575,0.1188575,0.525975,19.9,2.8261,0
0.1632125,0.536875,-0.6818,0.1,3.3043,0
0.0,0.0,0.0,0.48827,3.3043,0
0.0,0.0,0.0,0.91436,3.3043,0
0.0,0.0,0.0,1.3849,3.3043,0
0.0,0.0,0.0,1.8661,3.3043,0
0.0,0.0,0.0,2.3467,3.3043,0
0.0,0.0,0.0,2.8258,3.3043,0
0.0,0.0,0.0,3.3043,3.3043,0
0.0,0.0,0.0,3.7826,3.3043,0
0.0,0.0,0.0,4.2609,3.3043,0
0.0,0.0,0.0,4.7391,3.3043,0
0.0,0.0,0.0,5.2174,3.3043,0
0.0,0.0,0.0,5.6957,3.3043,0
0.0,0.0,0.0,6.1739,3.3043,0
0.0,0.0,0.0,6.6522,3.3043,0
0.0,0.0,0.0,7.1304,3.3043,0
0.0,0.0,0.0,7.6087,3.3043,0
0.0,0.0,0.0,8.087,3.3043,0
0.0,0.0,0.0,8.5652,3.3043,0
0.0,0.0,0.0,9.0435,3.3043,0
0.0,0.0,0.0,9.5217,3.3043,0
0.0,0.0,0.0,10,3.3043,0
0.0,0.0,0.0,10.478,3.3043,0
0.0,0.0,0.0,10.957,3.3043,0
0.0,0.0,0.0,11.435,3.3043,0
0.0,0.0,0.0,11.913,3.3043,0
0.0,0.0,0.0,12.391,3.3043,0
0.0,0.0,0.0,12.87,3.3043,0
0.0,0.0,0.0,13.348,3.3043,0
0.0,0.0,0.0,13.826,3.3043,0
0.0,0.0,0.0,14.304,3.3043,0
0.0,0.0,0.0,14.783,3.3043,0
0.0,0.0,0.0,15.261,3.3043,0
0.0,0.0,0.0,15.739,3.3043,0
0.0,0.0,0.0,16.217,3.3043,0
0.0,0.0,0.0,16.696,3.3043,0
0.0,0.0,0.0,17.174,3.3043,0
0.0,0.0,0.0,17.653,3.3043,0
0.0,0.0,0.0,18.134,3.3043,0
0.0,0.0,0.0,18.615,3.3043,0
0.0,0.0,0.0,19.086,3.3043,0
0.0,0.0,0.0,19.512,3.3043,0
0.651625,0.0988525,0.529075,19.9,3.3043,0
0.366425,0.5723,-0.751475,0.1,3.7826,0
0.0,0.0,0.0,0.48827,3.7826,0
